"MaternalVial","vial_letter","PaternalStock","Treatment","co_inds.sum","ycv_count.sum","cvv_count.sum","vf_count.sum","num_M.sum","ycv_rr","cvv_rr","vf_rr","recomb_rate","ycv_rr_kosambi","cvv_rr_kosambi","vf_rr_kosambi","recomb_rate_kosambi"
"31","B","42","1x",18,2,5,11,46,0.0434782608695652,0.108695652173913,0.239130434782609,0.391304347826087,4.35883467861944,11.045818806976,26.036346870704,41.4410003562994
"31","C","42","1x",4,0,2,2,10,0,0.2,0.2,0.4,0,21.1824465096801,21.1824465096801,42.3648930193602
"31","D","42","1x",14,6,2,6,50,0.12,0.04,0.12,0.28,12.2387056329676,4.00856625187949,12.2387056329676,28.4859775178148
"32","A","42","0.5x",49,8,19,22,93,0.0860215053763441,0.204301075268817,0.236559139784946,0.526881720430108,8.6885615093865,21.696603449217,25.7040156929375,56.089180651541
"32","B","42","0.5x",48,8,22,18,92,0.0869565217391304,0.239130434782609,0.195652173913043,0.521739130434783,8.78494717094721,26.036346870704,20.6669643296117,55.4882583712629
"32","C","42","0.5x",79,9,36,34,161,0.0559006211180124,0.22360248447205,0.211180124223602,0.490683229813665,5.61352938952119,24.060052095839,22.5280627600246,52.2016442453848
"32","D","42","0.5x",79,16,27,36,141,0.113475177304965,0.191489361702128,0.25531914893617,0.560283687943262,11.5485928067159,20.1772859977291,28.1796415278041,59.9055203322491
"33","A","42","0.5x",3,0,1,2,8,0,0.125,0.25,0.375,0,12.7706405941498,27.4653072167027,40.2359478108525
"34","A","42","2x",31,3,10,18,65,0.0461538461538462,0.153846153846154,0.276923076923077,0.476923076923077,4.6285608283899,15.8997191679999,31.1956171713696,51.7238971677595
"34","B","42","2x",12,1,4,7,35,0.0285714285714286,0.114285714285714,0.2,0.342857142857143,2.86025877944361,11.6340812422308,21.1824465096801,35.6767865313545
"34","C","42","2x",28,3,11,14,71,0.0422535211267606,0.154929577464789,0.197183098591549,0.394366197183099,4.23545379895116,16.0194798760657,20.8479933610257,41.1029270360426
"34","D","42","2x",19,2,6,11,66,0.0303030303030303,0.0909090909090909,0.166666666666667,0.287878787878788,3.03402142510668,9.19311950313294,17.3286795139986,29.5558204422383
"35","A","42","0.5x",31,5,15,11,43,0.116279069767442,0.348837209302326,0.255813953488372,0.72093023255814,11.844608802141,43.1377520921714,28.2466208043054,83.2289816986177
"35","B","42","0.5x",15,5,7,3,32,0.15625,0.21875,0.09375,0.46875,16.1656791231263,23.4567409648233,9.48724054262259,49.1096606305722
"35","C","42","0.5x",48,6,21,21,86,0.0697674418604651,0.244186046511628,0.244186046511628,0.558139534883721,7.02255963666005,26.6960157500339,26.6960157500339,60.4145911367279
"35","D","42","0.5x",22,4,9,9,36,0.111111111111111,0.25,0.25,0.611111111111111,11.2996280935764,27.4653072167027,27.4653072167027,66.2302425269819
